FIPS,State,County,FIR,FIP,P_Below,P_Between,Percent Above Threshold,Meal,Budget,Year,Total,White,Black,Native,Asian,Pacific,Other,Biracial,Region,Budget Per FIP
48009,TX,Archer,0.14,1230,0.495,0.04,0.465,2.83,594000,2017,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916,Plains,482.9268292682927
48009,TX,Archer,0.132,1160,0.486,0.077,0.437,2.89,567000,2018,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916,Plains,488.7931034482759
48009,TX,Archer,0.142,1240,0.463,0.072,0.465,2.96,628000,2019,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916,Plains,506.4516129032258
48011,TX,Armstrong,0.14,270,0.517,0.043,0.44,2.34,108750,2010,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155,Panhandle,402.77777777777777
48011,TX,Armstrong,0.126,240,0.504,0.062,0.434,2.58,100950,2011,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155,Panhandle,420.625
48011,TX,Armstrong,0.152,280,0.472,0.063,0.465,2.594677104840928,127000,2012,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155,Panhandle,453.57142857142856
48011,TX,Armstrong,0.159,280,0.412,0.032,0.556,2.74,136000,2013,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155,Panhandle,485.7142857142857
48011,TX,Armstrong,0.151,290,0.36,0.04,0.6,2.9,148000,2014,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155,Panhandle,510.3448275862069
48011,TX,Armstrong,0.145,280,0.316,0.077,0.607,2.93,147000,2015,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155,Panhandle,525.0
48011,TX,Armstrong,0.138,260,0.348,0.052,0.6,3.04,135000,2016,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155,Panhandle,519.2307692307693
